method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
MCTS4DM	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	37.05972170829773
MCTS4DM	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	294.3679909706116
MCTS4DM	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	10.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	72.625244140625
MCTS4DM	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	12.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	78.69896459579468
MCTS4DM	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	88.65814805030823
MCTS4DM	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	46.547507524490356
MCTS4DM	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height', 'wheel_base', 'horsepower', 'length', 'curb_weight', 'price']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	8	symboling	3	0.11794871794871795	5.0	0.0	0.0	0.0	0.0	0.0	0.0	64.59175086021423
CN2SD	autos	['engine_location']	['simple']	1.0	-1.0	symboling	3	0.11794871794871795	5.0	2.0	3.0	0.015228426395939087	0.13043478260869565	0.0	0.013570019723865878	0.17199993133544922
CN2SD	autos	['engine_location', 'fuel_type']	['simple', 'simple']	2.0	-1.0	symboling	3	0.11794871794871795	5.0	2.0	3.0	0.015228426395939087	0.13043478260869565	0.0	0.013570019723865878	0.2200000286102295
CN2SD	autos	['engine_location', 'fuel_type', 'aspiration']	['simple', 'simple', 'simple']	3.0	-1.0	symboling	3	0.11794871794871795	5.0	3.0	3.0	0.015228426395939087	0.13043478260869565	0.0	0.013570019723865878	0.20300006866455078
CN2SD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors']	['simple', 'simple', 'simple', 'simple', 'simple']	5.0	-1.0	symboling	3	0.11794871794871795	5.0	4.0	12.0	0.06091370558375635	0.34782608695652173	0.023255813953488372	0.033767258382642995	0.5099997520446777
CN2SD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	8.0	-1.0	symboling	3	0.11794871794871795	5.0	5.0	195.0	0.9898477157360406	1.0	1.0	0.0	1.7630000114440918
CN2SD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple']	10.0	-1.0	symboling	3	0.11794871794871795	5.0	5.0	195.0	0.9898477157360406	1.0	1.0	0.0	3.4679999351501465
CN2SD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric']	12.0	-1.0	symboling	3	0.11794871794871795	5.0	5.0	195.0	0.9898477157360406	1.0	1.0	0.0	5.261999845504761
CN2SD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	-1.0	symboling	3	0.11794871794871795	5.0	5.0	195.0	0.9898477157360406	1.0	1.0	0.0	7.083999872207642
CN2SD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	-1.0	symboling	3	0.11794871794871795	5.0	5.0	195.0	0.9898477157360406	1.0	1.0	0.0	8.198999643325806
CN2SD	autos	['engine_location', 'fuel_type', 'aspiration', 'drive_wheels', 'num_of_doors', 'body_style', 'engine_type', 'num_of_cylinders', 'fuel_system', 'make', 'normalized_losses', 'peak_rpm', 'city_mpg', 'highway_mpg', 'compression_ratio', 'stroke', 'bore', 'engine_size', 'width', 'height', 'wheel_base', 'horsepower', 'length', 'curb_weight', 'price']	['simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'simple', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	-1.0	symboling	3	0.11794871794871795	5.0	4.0	195.0	0.9898477157360406	1.0	1.0	0.0	9.311999797821045
