method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
BSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	30.0	8.0	class	3	0.19832402234636873	5.0	5.0	130.0	0.36312849162011174	1.0	0.20557491289198607	0.12630691925969853	29.77881956100464
DSSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	30.0	8.0	class	3	0.19832402234636873	5.0	5.0	76.0	0.2122905027932961	1.0	0.017421602787456445	0.15622171592646925	2.283107280731201
fssd	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab', 'o', 'aa', 'h', 'ah']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	34.0	8.0	class	3	0.19832402234636873	5.0	1.0	71.0	0.19832402234636873	1.0	0.0	0.15899160450672578	0.05514383316040039
BSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab', 'o', 'aa', 'h', 'ah']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	34.0	8.0	class	3	0.19832402234636873	5.0	5.0	130.0	0.36312849162011174	1.0	0.20557491289198607	0.12630691925969853	77.4723904132843
DSSD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab', 'o', 'aa', 'h', 'ah']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	34.0	8.0	class	3	0.19832402234636873	5.0	5.0	76.0	0.2122905027932961	1.0	0.017421602787456445	0.15622171592646925	2.98394513130188
MCTS4DM	dermatology	['k']	['numeric']	1.0	8	class	3	0.19832402234636873	5.0	1.0	314.0	0.8770949720670391	0.9295774647887324	0.8606271777003485	0.010962516775381535	0.11676788330078125
MCTS4DM	dermatology	['k', 'm']	['numeric', 'numeric']	2.0	8	class	3	0.19832402234636873	5.0	4.0	315.0	0.8798882681564246	0.9295774647887324	0.8641114982578397	0.010408539059330231	0.11173248291015625
MCTS4DM	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3.0	8	class	3	0.19832402234636873	5.0	5.0	266.0	0.7430167597765364	0.8169014084507042	0.7247386759581882	0.014653100714709278	0.12682843208312988
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	8	class	3	0.19832402234636873	5.0	5.0	184.0	0.5139664804469274	0.6619718309859155	0.47735191637630664	0.029353016447676416	0.5068786144256592
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	8	class	3	0.19832402234636873	5.0	5.0	145.0	0.40502793296089384	0.5352112676056338	0.37282229965156793	0.025818482569208198	2.1050429344177246
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	8	class	3	0.19832402234636873	5.0	5.0	244.0	0.6815642458100558	0.676056338028169	0.6794425087108014	-0.000538372709965354	2.131774425506592
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	8	class	3	0.19832402234636873	5.0	5.0	253.0	0.7067039106145251	0.704225352112676	0.7038327526132404	6.242002434380302e-05	2.006844997406006
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	8	class	3	0.19832402234636873	5.0	5.0	265.0	0.7402234636871509	0.7605633802816901	0.7317073170731707	0.004587871789269999	2.376147508621216
