sg;quality;size;#conditions;description
126;0.00032;125;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
127;0.00032;125;6;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
128;0.00032;125;6;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
129;0.00032;125;6;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
130;0.00032;125;6;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
131;0.00032;125;6;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
132;0.00032;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
133;0.00032;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
134;0.00032;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
135;0.00032;125;7;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
136;0.00032;125;7;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
137;0.00032;125;7;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
138;0.00032;125;7;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
139;0.00032;125;7;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
140;0.00032;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
141;0.00032;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
142;0.00032;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
143;0.00032;125;8;c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
144;0.00032;125;8;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
145;0.00032;125;8;c < 4.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
146;0.00032;125;8;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
147;0.00032;125;8;c < 3.50000 && c < 3.00000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.50000 && c < 2.00000
148;-0.00032;500;1;c > 1.50000
149;-0.00096;250;1;c > 3.50000
150;-0.00096;250;2;c < 4.50000 && c > 2.00000
151;-0.00128;125;1;c > 4.50000
152;-0.00128;125;2;c < 3.50000 && c > 2.00000
153;-0.00128;125;2;c < 3.50000 && c > 2.00000
154;-0.00224;375;1;c > 2.50000
155;-0.00224;375;1;c > 2.50000
